release_year,artist_name,release_name,release_genres,lat,lon
1944,Ella Fitzgerald,Once Too Often / Time Alone Will Tell,jazz; swing,36.9775,-76.4298
1945,Ella Fitzgerald,And Her Tears Flowed Like Wine / Confessin’ (That I Love You),jazz; pop,36.9775,-76.4298
1941,Ella Fitzgerald,I’m Thrilled / Make Love to Me,jazz; pop,36.9775,-76.4298
1940,Billie Holiday,Time On My Hands / I'm Pulling Through,jazz; pop,39.9527,-75.1635
1946,Édith Piaf,Un monsieur me suit dans la rue / Le Disque usé,pop,48.8717,2.3851
1946,Édith Piaf,Les Trois Cloches / Perrine était servante,pop,48.8717,2.3851
1945,Marlene Dietrich,Lili Marlene / Symphonie,jazz; pop,52.4822,13.3552
1949,Louis Armstrong,Blueberry Hill / That Lucky Old Sun,jazz; pop,29.9561,-90.0734
1949,Billie Holiday,You Can't Lose a Broken Heart / My Sweet Hunk o' Trash,jazz,39.9527,-75.1635
1941,Willi Forst,Ich bin heute ja so verliebt / Wiener Operette,classical,48.2084,16.3725
1940,Heinz Rühmann,Wanderlied / Mir geht's gut…,schlager; pop,51.4582,7.0158
1941,The Nat King Cole Trio,That Ain't Right / Hit That Jive Jack,jazz,34.0537,-118.2428
1945,Robert Wright,Song of Norway,musical,29.2108,-81.0228
1944,Glenn Miller,An Album of Outstanding Arrangements,big band; swing; jazz; pop,40.739,-95.0371
1945,Freddie Slack,Freddie Slack’s Boogie Woogie,jazz,43.8123,-91.2514
1945,Bing Crosby,Selections From the Paramount Production Going My Way,traditional pop; pop,47.2455,-122.4383
1945,Bing Crosby,Selections From Leo McCarey’s The Bells of St. Mary’s,pop,47.2455,-122.4383
1946,Dick Haymes,Selections From Rodgers and Hammerstein’s State Fair,musical; pop,-34.6096,-58.3888
1949,César Franck,Franck: Sonata in A major / Debussy: Sonata no. 3,classical,50.6451,5.5736
1944,The Nat King Cole Trio,Prelude in C Sharp Minor / What Is This Thing Called Love?,jazz,34.0537,-118.2428
