release_mbid,artist_name,release_name,release_year,release_genres
e28de7a2-21bd-3a72-bfa1-caa338fbadcf,Bee Gees,Cucumber Castle,1970,baroque pop; country folk; rock; ballad; folk rock; pop
ea606191-1732-3dad-9cbe-a0ade6f6a921,Eartha Kitt,Sentimental Eartha,1970,easy listening; jazz
6b9aac0a-3966-3340-a842-4d168aba2142,Douglas Grindstaff,Star Trek: Sound Effects From the Original TV Soundtrack,1978,sound effects; star trek sound effect; experimental; non-music; electronic; soundtrack
f242f304-0f1f-33a5-81a2-7a965b30e3b5,John Lennon,Imagine,1971,rock/pop; soft rock; offizielle charts; ballad; rock and roll; 5+ wochen; album rock; folk; rock singer-songwriter; rock; singer-songwriter; experimental; contemporary pop/rock; piano rock; pop; singer/songwriter; pop rock
2ece6f20-db6e-39b3-a370-28e6011cddcf,Heart,Little Queen,1977,hard rock; rock; oldies 70 s; pop; folk rock; album rock; aor; classic rock
bf932124-42f3-30ed-a3ad-108ca7ec6c8d,Renaud,Amoureux de Paname,1975,rock; chanson; pop; folk rock; chanson française
3c46302b-426f-3fce-a6ad-b7f76fee40f4,Peter Tosh,Equal Rights,1977,roots reggae; reggae
08f0ad54-dc95-38a9-bc88-503f0086b4f9,Jeff Beck,Blow by Blow,1975,jazz rock; rock/pop; guitar virtuoso; jazz fusion; jeff beck; jazz; blues; jazz-funk; album rock; classic rock; instrumental rock; pop/rock; rock; contemporary pop/rock; pop; fusion; jazz-rock
8d73e45e-7ca1-3cb4-ae28-6da76196c17c,The Clash,London Calling,1979,passionate; energetic; rhythmic; political; punk rock; punk; rockabilly; rock; new wave; rebellious; ska; eclectic
84928121-01b9-3375-a51c-3a34c2c34f29,Little Johnny Taylor,The Super Taylors,1973,blues
b725553d-9d18-3471-94c7-8aa81448834c,Sunnyland Slim,Sad and Lonesome,1972,blues
0c5f5065-ccd0-33b1-8c51-01f14f921ace,The Soul Stirrers,"Strength, Power, and Love",1973,soul; funk; gospel
e8145008-ccf0-3503-a209-28a64b18e91d,Little Johnny Taylor,Everybody Knows About My Good Thing,1972,soul; blues
dc18f18c-90c7-3cd3-a43f-38718bdf51ac,Dorothy Norwood,He's a Friend,1978,gospel
4053be2a-bc23-3487-af36-85da579fe760,The Harmonizing Four,Golden Jubilee,1979,gospel
82c238b5-d42a-3176-8b76-759400506578,The Harmonizing Four,Working for the Lord,1976,gospel
4b5ac69d-89cc-3d1b-be2b-a21ed21c9f49,Lowell Fulson,I've Got the Blues,1973,soul blues; blues
8e0c83a5-3bc1-3b68-b0cb-f2772c754200,Ray Brown,Brown's Bag,1976,jazz
0c9bc273-a9e9-3290-b423-c61b9f8d20bc,Dire Straits,Dire Straits,1978,lush; country rock; male vocalist; roots rock; soft; technical; rhythmic; introspective; melodic; classic rock; urban; bittersweet; warm; rock; atmospheric; pub rock; poetic; playful; calm; mellow; pop rock; blues rock
dac6bc96-0d9f-315a-974f-e5ab2d685d90,Harmonium,Harmonium,1974,progressive rock; folk rock; progressive folk
3dd5730d-fc38-3a32-aafe-ef5a2e06fa19,Vangelis,Earth,1973,progressive rock; rock; folk rock; electronica; electronic
b1fff2ac-34eb-358b-9bf5-196b2a5fc288,"Emerson, Lake & Palmer",Pictures at an Exhibition,1971,progressive rock; art rock; rock; symphonic rock; orchestral; opera; symphonic prog; classic rock; classical
8f1a1ce7-baba-3923-b87f-225a473db559,Lightnin’ Rod,Hustler’s Convention,1973,rare groove a to z; monolog; spoken word; funk; funk soul
c4b68591-5d85-393e-9c97-d42a0d89900c,Supertramp,Even in the Quietest Moments…,1977,progressive rock; art rock; rock; soft rock; pop; progressive pop; classic rock; pop rock
a539bcd4-b5af-316c-a959-a4229e0dc2f4,Gustav Mahler,Symphony no. 3 in D minor,1970,classical
699bebfe-b8f8-3e76-bf4d-0597910cd14d,Bob Dylan,"Bob Dylan’s Greatest Hits, Vol. II",1971,rock; country rock; should be public domain; folk rock; blues rock
a57a63f0-81be-37cf-9e5b-459ae81b7c93,The Allman Brothers Band,Idlewild South,1970,rock/pop; rock; southern rock; roots rock; blues; album rock; classic rock; blues rock
b6a3952b-9977-351c-a80a-73e023143858,Neil Young,After the Gold Rush,1970,country; country rock; laurel canyon scene; album rock; classic rock; hard rock; folk; rock; singer-songwriter; folk rock; country-rock; singer/songwriter
b25419cf-71bf-3a54-8cd4-2161c61056a0,Neil Young,Harvest,1972,country; 1–4 wochen; offizielle charts; country rock; male vocal; rock and roll; classic rock; english; rock; singer-songwriter; folk rock; singer/songwriter
2eaabe54-13a2-3995-83d7-2753ac4162f7,Blue,Another Night Time Flight,1977,pop; rock; pop rock
79a62c7c-c6c3-3442-b9a6-46835ba65f20,Blue,Fools’ Party,1979,soft rock; rock; classic rock
2ebcd1a4-6851-382f-a974-a42115ea00a1,Thelma Houston,I’ve Got the Music in Me,1975,r&b; disco; funk
039f2ae4-36dd-3608-9103-67ce7f6c9288,Joni Mitchell,Hejira,1976,soft rock; jazz fusion; jazz; folk; folk pop; rock; singer-songwriter; vocal jazz; neofolk; folk rock; jazz pop; pop; singer/songwriter
0b952083-6e5b-3d5f-8656-284678439b0b,Ry Cooder,Paradise and Lunch,1974,blues-rock; contemporary blues; roots rock; blues; album rock; reggae; pop/rock; folk; rock; rock music; country-rock; blues rock
f33b60e2-8cae-329e-932d-c77f74aad14a,Cat Stevens,Greatest Hits,1975,rock; soft rock; folk pop; oldies 70 s; pop; folk rock; pop rock
8831099f-15dc-380a-a4b2-d746eaccb76c,Chuck Mangione,Feels So Good,1977,easy listening; soul jazz; contemporary jazz; jazz; smooth jazz
3d55b5a4-a81f-3b8e-8d7e-802ce1c86596,The Police,Outlandos d’Amour,1978,power pop; rock; alternative rock; post-punk; new wave; contemporary pop/rock; reggae; pop; pop rock
5c5c4733-2389-3ba8-ae40-d8b3db71c496,Elvis Costello,Live at the El Mocambo,1978,alternative; rock & roll; punk/new wave; pop/rock; rock; rock and roll; new wave; contemporary pop/rock
62b18c29-3688-392a-b081-6d9d33900dbd,Neil Diamond,Stones,1971,adult contemporary; pop/rock; folk; rock; soft rock; contemporary pop/rock; pop; am pop
1caefbb6-c4ac-3954-85ba-b512fc2da959,Jeff Beck,Wired,1976,jazz rock; rock; album rock; funk; jazz-rock
e8f3a858-20f8-3798-80ac-65264afa4672,Kate Bush,The Kick Inside,1978,avant-garde; leftfield; art rock; rock; pop; art pop; pop rock
c51f0a03-b999-382d-a378-0e30d69ec0c2,Yes,Going for the One,1977,progressive rock; art rock; rock; symphonic rock; symphonic prog; progressive; classic rock
1f5694c1-300e-3b48-84df-fd862272f06d,George Benson,Breezin’,1976,contemporary jazz; jazz; crossover jazz; jazz-funk; smooth jazz
b1176e7b-fa2e-3b28-959a-d8f55b5b6ccf,Yes,Fragile,1971,rock; progressive rock
78eab0cb-00b0-37e3-be22-2ca6ed5c40a0,Ernestine Anderson,Hello Like Before,1977,jazz
8879c5ce-1358-37cb-aac5-42ef0a2b9866,John Renbourn,The Black Balloon,1979,rock; folk
7c931b97-6cb8-335b-b339-1362a03e2f9e,The Soul Stirrers,"Heritage, Vol. I",1974,gospel
9584e28b-66a7-3846-8d52-b3008a283539,The Who,Who’s Next,1971,love; pop-rock; introspective; album rock; melodic; epic; uplifting; bittersweet; hard rock; eclectic; anthemic; triumphant; mod; passionate; energetic; male vocalist; rhythmic; classic rock; progressive rock; art rock; rock; rebellious; arena rock; hardrock; pop rock; blues rock
fcf7f98b-e885-36c6-8fc2-ef32650c7459,Maurice Chevalier,The Immortal Maurice Chevalier,1978,pop
47e4cf62-8eba-314d-ad77-b98ce6e0c22d,Planxty,Cold Blow and the Rainy Night,1974,celtic; folk
f11ae9f2-a66f-3129-993d-a85e4fc63848,Steeleye Span,Now We Are Six,1974,folk; rock; british folk rock; folk rock
a35f47a1-0ff7-3ac4-af83-8f5115575a64,Mick O'Connor,Traditional Music of Ireland,1974,rock; celtic
